日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/3/31,165874,22803,5995,3178,美国
2020/3/31,82631,86,76415,3321,中国
2020/3/31,94417,9222,19259,8269,西班牙
2020/3/31,101739,4050,14620,11591,意大利
2020/3/31,1251,180,102,32,印度
2020/3/31,1326,46,31,3,南非
2020/3/31,4681,425,127,167,巴西
2020/3/31,2337,501,121,17,俄罗斯
2020/3/31,1953,87,424,56,日本
2020/4/1,9887,101,5567,165,韩国
2020/4/1,74508,6328,16100,821,德国
2020/4/1,47593,2987,15473,3036,伊朗
2020/4/1,82724,93,76610,3327,中国
2020/4/1,190089,24215,7141,4102,美国
2020/4/1,102136,7719,22647,9053,西班牙
2020/4/1,105792,4053,15729,12428,意大利
2020/4/1,1637,386,148,45,印度
2020/4/1,1353,27,50,5,南非
2020/4/1,5861,1180,127,203,巴西
2020/4/1,2777,440,190,24,俄罗斯
2020/4/1,2178,225,472,57,日本
2020/4/2,9976,89,5828,169,韩国
2020/4/2,81728,7220,19175,997,德国
2020/4/2,50468,2875,16711,3160,伊朗
2020/4/2,82802,78,76785,3331,中国
2020/4/2,217263,27174,8710,5151,美国
2020/4/2,110238,8102,26743,10003,西班牙
